witness	arm	maps	class	prop	missing_vs_intended	extra_vs_intended	hermit_unsat	matcher_own_view
w1	aml	3	3	0	writes	-	0	aml-says-coherent
w2	aml	2	2	0	edits	-	0	aml-says-coherent
w3	aml	2	2	0	hasReviewer	-	0	aml-says-coherent
w4	aml	2	2	0	hasReviewer	-	0	aml-says-coherent
w5	aml	1	1	0	Course	-	0	aml-conflict-sets=1
w6	aml	3	3	0	writes	-	0	aml-says-coherent
d1_role	aml	2	2	0	writes	-	0	aml-says-coherent
d1_filler	aml	2	2	0	writes	-	0	aml-says-coherent
d1_subject	aml	2	2	0	writes	-	0	aml-says-coherent
d2_base	aml	1	1	0	hasReviewer	-	0	aml-says-coherent
d2_role	aml	1	1	0	hasReviewer	-	0	aml-says-coherent
d3_base	aml	2	2	0	hasCorrespondingAuthor	-	0	aml-says-coherent
d3_role	aml	2	2	0	hasSubmitter	-	0	aml-says-coherent
d4_base	aml	0	0	0	hasReviewer	-	0	rc=1
d4_role	aml	0	0	0	hasReviewer	-	0	rc=1
d5_base	aml	1	1	0	hasReviewer	-	0	aml-says-coherent
d5_role	aml	1	1	0	hasReviewer	-	0	aml-says-coherent
d5_filler	aml	1	1	0	hasReviewer	-	0	aml-says-coherent
s1_definition	aml	1	1	0	hasReviewer	-	0	aml-says-coherent
s1_domain	aml	1	1	0	deployed	-	0	aml-says-coherent
s2_definition	aml	2	2	0	hasReviewer	-	0	aml-says-coherent
s3_definition	aml	1	1	0	hasReviewer	-	0	aml-says-coherent
