witness	arm	maps	class	prop	missing_vs_intended	extra_vs_intended	hermit_unsat	matcher_own_view
w1	logmap_stock	4	3	1	-	-	2	logmap-hermit-unsat=2
w2	logmap_stock	3	2	1	-	-	0	logmap-hermit-unsat=0
w3	logmap_stock	3	2	1	-	-	2	logmap-hermit-unsat=2
w4	logmap_stock	3	2	1	-	-	0	logmap-hermit-unsat=0
w5	logmap_stock	1	1	0	Course	-	0	logmap-hermit-unsat=0
w6	logmap_stock	4	3	1	-	-	2	logmap-hermit-unsat=2
d1_role	logmap_stock	3	2	1	-	-	2	logmap-hermit-unsat=2
d1_filler	logmap_stock	3	2	1	-	-	2	logmap-hermit-unsat=2
d1_subject	logmap_stock	3	2	1	-	-	1	logmap-hermit-unsat=1
d2_base	logmap_stock	2	1	1	-	-	2	logmap-hermit-unsat=2
d2_role	logmap_stock	2	1	1	-	-	2	logmap-hermit-unsat=2
d3_base	logmap_stock	3	2	1	-	-	2	logmap-hermit-unsat=2
d3_role	logmap_stock	3	2	1	-	-	1	logmap-hermit-unsat=1
d4_base	logmap_stock	1	0	1	-	-	1	logmap-hermit-unsat=1
d4_role	logmap_stock	1	0	1	-	-	1	logmap-hermit-unsat=1
d5_base	logmap_stock	1	1	0	hasReviewer	-	0	logmap-hermit-unsat=0
d5_role	logmap_stock	1	1	0	hasReviewer	-	0	logmap-hermit-unsat=0
d5_filler	logmap_stock	1	1	0	hasReviewer	-	0	logmap-hermit-unsat=0
s1_definition	logmap_stock	2	1	1	-	-	1	logmap-hermit-unsat=1
s1_domain	logmap_stock	1	1	0	deployed	-	0	logmap-hermit-unsat=0
s2_definition	logmap_stock	3	2	1	-	-	1	logmap-hermit-unsat=1
s3_definition	logmap_stock	2	1	1	-	-	1	logmap-hermit-unsat=1
