witness	arm	maps	class	prop	missing_vs_intended	extra_vs_intended	hermit_unsat	matcher_own_view
w1	aml_auto_props	4	3	1	-	-	2	aml-says-coherent
w2	aml_auto_props	3	2	1	-	-	0	aml-says-coherent
w3	aml_auto_props	3	2	1	-	-	2	aml-says-coherent
w4	aml_auto_props	3	2	1	-	-	0	aml-says-coherent
w5	aml_auto_props	1	1	0	Course	-	0	aml-conflict-sets=1
w6	aml_auto_props	4	3	1	-	-	2	aml-says-coherent
d1_role	aml_auto_props	3	2	1	-	-	2	aml-says-coherent
d1_filler	aml_auto_props	3	2	1	-	-	2	aml-says-coherent
d1_subject	aml_auto_props	3	2	1	-	-	1	aml-says-coherent
d2_base	aml_auto_props	2	1	1	-	-	2	aml-says-coherent
d2_role	aml_auto_props	2	1	1	-	-	2	aml-says-coherent
d3_base	aml_auto_props	3	2	1	-	-	2	aml-says-coherent
d3_role	aml_auto_props	3	2	1	-	-	1	aml-says-coherent
d4_base	aml_auto_props	1	0	1	-	-	1	rc=0
d4_role	aml_auto_props	2	0	2	-	hasReviewer	1	rc=0
d5_base	aml_auto_props	1	1	0	hasReviewer	-	0	aml-says-coherent
d5_role	aml_auto_props	1	1	0	hasReviewer	-	0	aml-says-coherent
d5_filler	aml_auto_props	1	1	0	hasReviewer	-	0	aml-says-coherent
s1_definition	aml_auto_props	2	1	1	-	-	1	aml-says-coherent
s1_domain	aml_auto_props	1	1	0	deployed	-	0	aml-says-coherent
s2_definition	aml_auto_props	3	2	1	-	-	1	aml-says-coherent
s3_definition	aml_auto_props	2	1	1	-	-	1	aml-says-coherent
